Field Name,ID3v2.2,ID3v2.3,ID3v2.4,Description
Unique file identifier,UFI,UFID,UFID,Unique file identifier
grouping,TT1,TIT1,TIT1,Content group description
title  ,TT2,TIT2,TIT2,Title/songname/content refinement
subtitle,TT3,TIT3,TIT3,Subtitle/Description refinement
album,TAL,TALB,TALB,Album/Movie/Show title
originalalbum,,TOAL,TOAL,Original album/movie/show title
tracknumber,TRK,TRCK,TRCK,Track number/Position in set
totaldiscs,TPA,TPOS,TPOS,Part of a set
discsubtitle,,TSST,TSST,Set subtitle
isrc,TRC,TSRC,TSRC,ISRC (international standard recording code)
artist,TP1,TPE1,TPE1,Lead performer(s)/Soloist(s)
albumartist,TP2,TPE2,TPE2,Band/orchestra/accompaniment
conductor,TP3,TPE3,TPE3,Conductor/performer refinement
Interpreted by,TP4,TPE4,TPE4,"Interpreted, remixed or otherwise modified by"
Original artist,TOA,TOPE,TOPE,Original artist(s)/performer(s)
lyricist,TXT,TEXT,TEXT,Lyrics/Text writer
Original lyricist,TOL,TOLY,TOLY,Original lyricist/Ttext writer
composer,TCM,TCOM,TCOM,Composer
Musician credits list,,,TMCL,
Involved people list,IPL,IPLS,,
Involved people list,,,TIPL,
encodedby,,TENC,TENC,Encoded by
bpm,TBP,TBPM,TBPM,BPM (Beats per minute)
Length,,TLEN,,
key,,TKEY,TKEY,Initial key
language,TLA,TLAN,TLAN,Language
genre,TCO,TCON,TCON,Content type
File type,TFT,TFLT,TFLT,File type
Media type,TMT,TMED,TMED,Media type
mood,,,TMOO,
copyright,TCR,TCOP,TCOP,Copyright message
,,,TPRO,
label,TPB,TPUB,TPUB,Publisher
,,TOWN,TOWN,File owner/licensee
,,TRSN,TRSN,Internet radio station name
,,TRSO,TRSO,Internet radio station owner
originalfilename,TOF,TOFN,TOFN,Original file name
Playlist delay,TDY,TDLY,TDLY,Playlist delay
,,,TDEN,Encoding time
,TDA,TDAT,,Date?
,TIM,TIME,,Time?
originaldate,,,TDOR,Original release time
originaldate,TOR,TORY,,Original release year
date,TRD,TRDA,,Recording date
date,,,TDRC,Recording time
date,TYE,TYER,,Year
releasedate,,,TDRL,Release time
,,,TDTG,Tagging time
encodersettings,,TSSE,TSSE,Software/Hardware and settings used for encoding 
albumartistsort,,TSO2,TSO2,Album artist sorting order
albumsort,,,TSOA,Album sorting order
composersort,,TSOC,TSOC,Composer sorting order
artistsort,,,TSOP,Artist sorting order
Title sort order,,,TSOT,Title sorting order
,,TXXX,,
,,WCOM,WCOM,Commercial information
copyrighturl,,WCOP,WCOP,Copyright/Legal information
,WAF,WOAF,WOAF,Official audio file webpage
Official artist webpage,WAR,WOAR,WOAR,Official artist/performer webpage
,WAS,WOAS,WOAS,
,,WORS,WORS,Official internet radio station homepage
,,WPAY,WPAY,
,,WPUB,WPUB,Publishers official webpage
,,WXXX,,
cdid,MCI,MCDI,MCDI,Music CD identifier
,ETC,ETCO,ETCO,Event timing
,MLL,MLLT,MLLT,Mpeg lookup
,STC,SYTC,SYTC,Synced tempo
Unsynchronized lyrics,ULT,USLT,USLT,Unsynchronized lyric/text transcription
Synchronised lyrics,SLT,SYLT,SYLT,Synchronized lyrics
comment,COM,COMM,COMM,Comments
,RVA,RVAD,,Volume adjustement
,,,RVA2,Volume adjustement
,EQU,EQUA,,Equalization
,,,EQU2,Equalization
,REV,RVRB,RVRB,Reverb
Attached picture,PIC,APIC,APIC,Attached picture
,GEO,GEOB,GEOB,
Play counter,CNT,PCNT,PCNT,
rating,POP,POPM,POPM,Popularimeter
Recommended buffer size,BUF,RBUF,RBUF,
,CRA,AENC,AENC,
,LNK,LINK,LINK,Linked info
,,POSS,POSS,
,,USER,USER,Terms of use
,,OWNE,OWNE,
,,COMR,COMR,Commercial information
,,ENCR,ENCR,
,,GRID,GRID,
,,PRIV,PRIV,
,,,SIGN,Signature
,,,SEEK,Seek frame
,,,ASPI,Audio seek point
